# Index: time, region
# Unit: %

year,EU,US,OT,EE,CA,IA,AF,LA
2020,110.80710699437515,110.80710699437515,110.80710699437515,111.04253638988925,109.57776336621306,109.57776336621306,108.31493100779521,108.31493100779521
2030,113.67961831242701,113.67961831242701,113.67961831242701,116.04131899203884,119.76375379383754,119.76375379383754,117.08090538287279,117.08090538287279
2040,110.66501093708554,110.66501093708554,110.66501093708554,115.11478183265677,124.03892671003184,124.03892671003184,120.01996727875901,120.01996727875901
2050,108.02600084492857,108.02600084492857,108.02600084492857,111.8359322164964,124.58659030714163,124.58659030714163,122.17596446604271,122.17596446604271
2075,89.34367924082427,89.34367924082427,89.34367924082427,91.71590897478004,109.06422876965148,109.06422876965148,109.54237122673516,109.54237122673516
2100,67.90361053615399,67.90361053615399,67.90361053615399,70.81496663036627,87.45698594777085,87.45698594777085,88.48249300595332,88.48249300595332
2150,67.90361053615399,67.90361053615399,67.90361053615399,70.81496663036627,87.45698594777085,87.45698594777085,88.48249300595332,88.48249300595332
2200,67.90361053615399,67.90361053615399,67.90361053615399,70.81496663036627,87.45698594777085,87.45698594777085,88.48249300595332,88.48249300595332
2250,67.90361053615399,67.90361053615399,67.90361053615399,70.81496663036627,87.45698594777085,87.45698594777085,88.48249300595332,88.48249300595332
2300,67.90361053615399,67.90361053615399,67.90361053615399,70.81496663036627,87.45698594777085,87.45698594777085,88.48249300595332,88.48249300595332
